Uniprot	Gene Symbol
UniProtKB:Q9UHR4	BAIAP2L1
UniProtKB:Q96FC9	DDX11
UniProtKB:Q9UHQ1	NARF
UniProtKB:Q9UHP6	RSPH14
UniProtKB:Q9UI15	TAGLN3
UniProtKB:Q9UI08	EVL
UniProtKB:Q99570	PIK3R4
UniProtKB:Q9UBK9	UXT
UniProtKB:Q8NHY3	GAS2L2
UniProtKB:Q9UHI6	DDX20
UniProtKB:Q5QJ74	TBCEL
UniProtKB:Q8NI77	KIF18A
UniProtKB:Q8NHV4	NEDD1
UniProtKB:Q96EY5	MVB12A
UniProtKB:Q96EY1	DNAJA3
UniProtKB:Q8NHU2	CFAP61
UniProtKB:Q96EX3	DYNC2I2
UniProtKB:Q9Y237	PIN4
UniProtKB:Q9UHG0	DCDC2
UniProtKB:Q8NI35	PATJ
UniProtKB:Q9UHD8	SEPTIN9
UniProtKB:Q8TEY7	USP33
UniProtKB:Q8NHQ1	CEP70
UniProtKB:P20794	MAK
UniProtKB:Q96ES7	SGF29
UniProtKB:Q9UHB6	LIMA1
UniProtKB:O95452	GJB6
UniProtKB:O95721	SNAP29
UniProtKB:O95716	RAB3D
UniProtKB:O95714	HERC2
UniProtKB:O95704	APBB3
UniProtKB:Q96EK5	KIFBP
UniProtKB:Q5JR98	DYNLT4
UniProtKB:Q16236	NFE2L2
UniProtKB:P20700	LMNB1
UniProtKB:Q9Y6Y0	IVNS1ABP
UniProtKB:Q9Y6X6	MYO16
UniProtKB:Q9Y6X1	SERP1
UniProtKB:Q9UH77	KLHL3
UniProtKB:Q16204	CCDC6
UniProtKB:Q9Y6W3	CAPN7
