Gene_symbol,log2FC_RNA,log2FC_Protein,RNA_diff,Protein_diff,RNA_protein_diff,diff_colour,Final_colour
ALG11,0.5740377188206465,-0.35804752069401413,No,No,0.9320852395146606,Small,grey
ALG13,-0.011450858012528098,-0.37873223569255554,No,No,0.36728137768002744,Small,grey
ALG2,0.23968347451155325,-0.20141141185290667,No,No,0.4410948863644599,Small,grey
ALG5,-0.2053636930437741,-0.5260820201971832,No,No,0.3207183271534091,Small,grey
ALG9,0.7300384939248483,-0.3017474726034379,No,No,1.0317859665282862,Big,grey
ALK,-3.565712966691457,-2.6983831318471543,Down,Down,-0.8673298348443028,Small,yellow
ALKBH4,0.37489821524645084,0.15703935944333125,No,No,0.2178588558031196,Small,grey
ALKBH5,0.12198309359045512,-0.368543980429342,No,No,0.4905270740197971,Small,grey
ALKBH8,0.6104151198087837,0.11354077022421905,No,No,0.49687434958456467,Small,grey
ALMS1,1.0573501887089263,-0.9593974598039212,Up,No,2.0167476485128475,Big,blue
ALPL,-1.5570358724361557,-1.7765550219968427,Down,Down,0.21951914956068697,Small,yellow
ALS2,0.6087540399793296,1.0072968835367622,No,Up,-0.3985428435574325,Small,ltblue
ALYREF,NA,-0.510391568825467,NA,No,NA,NA,NA
AMBP,-Inf,0.4466211749494837,Down,No,-Inf,Big,blue
AMDHD2,-0.10651312186404205,0.5214649136205045,No,No,-0.6279780354845466,Small,grey
AMER1,NA,1.3507567479465807,NA,Up,NA,NA,NA
AMER2,NA,1.2131959277832518,NA,Up,NA,NA,NA
AMFR,0.4530318976387404,-0.08214904135387169,No,No,0.5351809389926121,Small,grey
AMIGO1,0.11128547297295022,0.62148837674627,No,No,-0.5102029037733198,Small,grey
AMN1,-0.1543843605156039,0.8004024688096774,No,No,-0.95478682932528125,Small,grey
AMOT,-0.6433332620353086,-0.5563933485243853,No,No,-0.08693991351092334,Small,grey
AMOTL1,0.44752729003018477,-0.01586640545902096,No,No,0.4633936954892057,Small,grey
AMOTL2,0.8798692250324027,0.43008091123925674,No,No,0.449788313793146,Small,grey
AMPD2,-0.31145670654071145,0.49897774661337024,No,No,-0.8104344531540817,Small,grey
AMPD3,-2.3984776546981337,-1.7078192485066896,Down,Down,-0.690658406191444,Small,yellow
AMPH,0.10750603532216241,1.3601952811936613,No,Up,-1.2526892458714989,Big,ltblue
AMT,0.23196722140757298,-0.6983816062326778,No,No,0.9303488276402507,Small,grey
AMZ2,-0.33387534341362546,0.12525628103925968,No,No,-0.45913162445288513,Small,grey
ANAPC1,0.4552530615068177,-0.33094972806602474,No,No,0.7862027895728425,Small,grey
ANAPC10,-0.1432465674084919,-0.021048255322977383,No,No,-0.12219831208551452,Small,grey
ANAPC2,0.6225603660364651,-0.04050928017486033,No,No,0.6630696462113255,Small,grey
ANAPC4,0.14550855311699906,-0.011087048155019374,No,No,0.15659560127201844,Small,grey
ANAPC5,0.95304356433385,-0.04962337688779073,No,No,1.0026669412216407,Big,grey
ANAPC7,0.039948562703689294,-0.3738787207793255,No,No,0.4138272834830148,Small,grey
ANGEL2,0.21455703326769893,-0.4283684883952237,No,No,0.6429255216629226,Small,grey
ANGPTL2,-2.0972665454017085,0.9468886635404377,Down,No,-3.044155208942146,Big,blue
ANK2,-0.32280353788446625,1.45657909168267,No,Up,-1.7793826295671362,Big,ltblue
ANK3,0.7204205088934401,1.1772076123197213,No,Up,-0.45678710342628115,Small,ltblue
ANKFY1,0.2249033416040369,-0.10708345559428523,No,No,0.33198679719832214,Small,grey
ANKHD1,-0.4270909439411028,-0.3054733656000508,No,No,-0.12161757834105202,Small,grey
ANKIB1,0.1310037517152769,0.6199088795544991,No,No,-0.48890512783922224,Small,grey
ANKLE2,0.6144518980377944,-0.2203131103242555,No,No,0.8347650083620499,Small,grey
ANKMY2,1.020746495085815,0.6965236571324152,Up,No,0.3242228379533998,Small,blue
ANKRD11,0.3165261201807765,-0.7195419262711287,No,No,1.0360680464519052,Big,grey
ANKRD12,-0.23927423313089058,-0.1764651508869619,No,No,-0.06280908224392867,Small,grey
ANKRD13A,0.13822675915454585,-0.986990228453748,No,No,1.1252169876082938,Big,grey
